,Price,Age_08_04,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
0,13500,23,46986,90,2000,3,5,210,1165
1,13750,23,72937,90,2000,3,5,210,1165
2,13950,24,41711,90,2000,3,5,210,1165
3,14950,26,48000,90,2000,3,5,210,1165
4,13750,30,38500,90,2000,3,5,210,1170
5,12950,32,61000,90,2000,3,5,210,1170
6,16900,27,94612,90,2000,3,5,210,1245
7,18600,30,75889,90,2000,3,5,210,1245
8,21500,27,19700,192,1800,3,5,100,1185
9,12950,23,71138,69,1900,3,5,185,1105
10,20950,25,31461,192,1800,3,6,100,1185
11,19950,22,43610,192,1800,3,6,100,1185
12,19600,25,32189,192,1800,3,6,100,1185
13,21500,31,23000,192,1800,3,6,100,1185
14,22500,32,34131,192,1800,3,6,100,1185
15,22000,28,18739,192,1800,3,6,100,1185
16,22750,30,34000,192,1800,3,5,100,1185
17,17950,24,21716,110,1600,3,5,85,1105
18,16750,24,25563,110,1600,3,5,19,1065
19,16950,30,64359,110,1600,3,5,85,1105
20,15950,30,67660,110,1600,3,5,85,1105
21,16950,29,43905,110,1600,3,5,100,1170
22,15950,28,56349,110,1600,3,5,85,1120
23,16950,28,32220,110,1600,3,5,85,1120
24,16250,29,25813,110,1600,3,5,85,1120
25,15950,25,28450,110,1600,3,5,85,1120
26,17495,27,34545,110,1600,3,5,85,1120
27,15750,29,41415,110,1600,3,5,85,1120
28,16950,28,44142,110,1600,3,5,85,1120
29,17950,30,11090,110,1600,3,5,85,1120
30,12950,29,9750,97,1400,3,5,19,1100
31,15750,22,35199,97,1400,3,5,85,1100
32,15950,27,29510,97,1400,3,5,85,1100
33,14950,26,32692,97,1400,3,5,85,1100
34,15500,22,41000,97,1400,3,5,85,1100
35,15750,26,43000,97,1400,3,5,85,1100
36,15950,25,25000,97,1400,3,5,85,1100
37,14950,23,10000,97,1400,3,5,85,1100
38,15750,32,25329,97,1400,3,5,85,1100
39,14750,27,27500,97,1400,3,5,85,1100
40,13950,22,49059,97,1400,3,5,85,1100
41,16750,27,44068,97,1400,3,5,85,1100
42,13950,22,46961,97,1400,3,5,85,1100
43,16950,27,110404,90,2000,5,5,234,1255
44,16950,22,100250,90,2000,5,5,234,1255
45,19000,23,84000,90,2000,5,5,234,1270
46,17950,27,79375,90,2000,5,5,234,1255
47,15800,22,75048,97,1400,5,5,85,1110
48,17950,22,72215,90,2000,5,5,234,1255
49,21950,31,64982,192,1800,5,6,100,1195
50,17950,22,62636,90,2000,5,5,234,1255
51,15750,30,57086,97,1400,5,5,85,1110
52,20500,26,56000,110,1600,5,5,100,1180
53,21950,27,49866,192,1800,5,5,100,1195
54,15500,25,49163,110,1600,5,5,100,1165
55,13250,32,45725,110,1600,5,5,85,1075
56,15250,28,43210,97,1400,5,5,85,1110
57,15250,26,43000,97,1400,5,5,85,1110
58,18950,23,39704,110,1600,5,5,100,1180
59,15999,30,38950,110,1600,5,5,85,1130
60,14950,22,37400,97,1400,5,5,85,1110
61,16500,27,37177,110,1600,5,5,85,1130
62,18750,31,36544,110,1600,5,5,85,1130
63,17950,30,33511,110,1600,5,5,85,1130
64,17950,27,32809,97,1400,5,5,85,1110
65,16950,26,32181,110,1600,5,5,19,1075
66,18950,28,30993,110,1600,5,5,85,1130
67,14950,22,30400,97,1400,5,5,85,1110
68,22250,22,30000,110,2000,5,5,234,1275
69,15950,25,29719,97,1400,5,5,85,1110
70,15950,28,29206,97,1400,5,5,85,1110
71,12995,32,29198,97,1400,5,5,85,1060
72,18950,28,28817,110,1598,5,5,85,1130
73,15750,23,28227,97,1400,5,5,85,1110
74,19950,28,28000,110,1600,5,5,85,1130
75,16950,23,28000,110,1600,5,5,85,1115
76,18750,31,25266,110,1600,5,5,85,1130
77,18450,27,23489,110,1600,5,5,85,1115
78,16895,29,22575,110,1600,5,5,85,1115
79,14900,30,22000,97,1400,5,5,85,1110
80,17250,29,20000,110,1600,5,5,85,1115
81,15450,25,17003,97,1400,5,5,85,1110
82,17950,31,16238,110,1600,5,5,100,1180
83,16650,25,15414,97,1400,5,5,85,1110
84,17450,28,8537,110,1600,5,5,85,1130
85,14900,30,7000,97,1400,5,5,85,1100
86,17950,20,66966,90,2000,3,5,210,1245
87,15950,19,51884,97,1400,3,5,85,1100
88,21950,19,50005,110,2000,3,5,234,1265
89,16450,20,48110,97,1400,3,5,85,1100
90,22250,20,37500,90,2000,3,5,234,1260
91,19950,16,34472,90,1995,3,5,234,1260
92,15950,20,33329,97,1400,3,5,85,1100
93,18900,20,31850,110,1600,3,5,85,1120
94,19950,17,30351,90,1995,3,5,234,1260
95,15950,19,29435,97,1400,3,5,85,1100
96,15950,19,25948,97,1400,3,5,85,1100
97,18750,11,24500,110,1600,3,5,85,1120
98,17450,18,23902,97,1400,3,5,85,1100
99,18990,20,23175,110,1600,3,5,85,1120
100,16250,19,19200,97,1400,3,5,85,1100
101,18500,13,18000,71,1400,3,5,85,1125
102,18500,11,16123,110,1600,3,5,85,1105
103,19450,11,14635,110,1600,3,5,100,1155
104,16950,19,13748,97,1400,3,5,85,1100
105,18800,14,11500,110,1600,3,5,69,1045
106,17450,17,10000,97,1400,3,5,85,1100
107,17950,20,7187,110,1600,3,5,85,1105
108,32500,4,1,116,2000,5,5,283,1480
109,31000,4,4000,116,2000,5,5,283,1480
110,31275,4,1500,116,2000,5,5,283,1480
111,24950,8,13253,116,2000,5,5,234,1320
112,24950,8,13253,116,2000,5,5,234,1320
113,22950,7,10000,116,2000,5,5,234,1270
114,24990,8,6000,90,2000,5,5,234,1280
115,21950,8,10841,90,2000,5,5,234,1270
116,17900,7,1,110,1600,3,5,85,1105
117,19250,20,63000,90,2000,5,5,234,1255
118,22250,17,57313,110,2000,5,5,234,1275
119,18950,13,57037,110,1600,5,5,85,1115
120,19950,19,51099,90,2000,5,5,234,1255
121,16350,14,40010,110,1600,5,5,85,1115
122,18950,20,39115,110,1600,5,5,85,1130
123,16950,17,36012,110,1600,5,5,85,1130
124,21750,16,36000,110,1600,5,5,85,1130
125,15950,20,36000,110,1600,5,5,19,1075
126,16500,20,35000,97,1400,5,5,85,1110
127,17950,17,33740,97,1400,5,5,85,1135
128,15850,13,33477,110,1600,5,5,19,1075
129,16250,20,32627,97,1400,5,5,85,1110
130,15950,20,29797,97,1400,5,5,85,1110
131,16250,19,29441,97,1400,5,5,85,1110
132,15950,13,29371,110,1600,4,5,19,1105
133,16500,20,29000,97,1400,5,5,85,1110
134,16500,19,27821,97,1400,5,5,85,1110
135,18450,19,27371,97,1400,5,5,85,1135
136,16250,13,25170,110,1600,5,5,19,1105
137,23000,11,25000,116,2000,5,5,64,1320
138,19900,20,23000,110,1600,5,5,85,1130
139,16450,20,22588,97,1400,5,5,85,1110
140,23950,19,21684,192,1800,5,5,19,1185
141,19950,13,21428,110,1600,5,5,85,1130
142,18500,16,20629,110,1600,4,5,85,1090
143,18950,15,20270,110,1600,5,5,85,1130
144,16450,16,20105,97,1400,5,5,85,1110
145,20500,20,20000,110,1600,5,5,100,1165
146,24500,13,19988,110,1600,5,5,85,1130
147,19450,19,18328,110,1600,5,5,85,1130
148,20950,14,17896,110,1600,4,5,85,1150
149,17200,20,17300,97,1400,5,5,85,1110
150,19950,19,17038,110,1600,5,5,85,1130
151,18450,10,13747,97,1400,5,5,85,1110
152,19500,12,13634,110,1600,5,5,85,1115
153,21750,13,13178,110,1600,5,5,85,1130
154,16868,15,13157,97,1400,4,5,85,1085
155,19500,16,13000,110,1600,4,5,85,1105
156,18900,11,12500,110,1600,5,5,85,1115
157,19750,17,11999,110,1600,5,5,85,1130
158,19750,16,11754,110,1600,5,5,100,1180
159,18950,16,11000,110,1600,4,5,85,1105
160,20750,17,10000,110,1598,5,5,85,1105
161,19600,9,7650,110,1600,5,5,85,1115
162,19500,14,6500,110,1600,4,5,85,1100
163,17650,11,6155,97,1400,5,5,85,1110
164,19950,14,6000,110,1600,5,5,85,1130
165,19950,14,5459,110,1600,5,5,85,1130
166,20950,14,5278,110,1600,4,5,85,1150
167,20500,12,5000,110,1600,5,5,85,1130
168,17795,9,1,98,1400,4,5,19,1065
169,18245,9,1,110,1600,5,5,19,1075
170,23750,8,11000,110,1600,5,5,85,1130
171,19500,8,10077,97,1400,5,5,85,1110
172,18950,8,10000,97,1400,5,5,85,1110
173,21950,8,9788,110,1600,5,5,85,1130
174,19950,8,8574,110,1600,5,5,85,1130
175,18950,8,7000,110,1600,5,5,85,1115
176,19950,7,6250,110,1600,5,5,85,1115
177,21950,8,5000,110,1600,5,5,85,1130
178,22500,6,3000,110,1600,5,5,85,1130
179,18500,7,2000,110,1600,5,5,19,1075
180,18700,7,450,97,1400,5,5,85,1110
181,21125,2,225,97,1400,5,5,85,1110
182,21500,2,15,110,1600,5,5,85,1130
183,17795,1,1,98,1400,4,5,19,1100
184,18245,1,1,110,1600,5,5,19,1075
185,6950,43,243000,69,1900,3,5,185,1110
186,9500,38,180638,90,2000,4,5,210,1160
187,11950,40,179860,90,2000,5,5,210,1205
188,7750,43,178858,110,1600,3,5,197,1084
189,11950,40,161000,69,1900,3,5,185,1105
190,4350,44,158320,69,1800,5,5,64,1110
191,4750,44,131273,69,1800,5,5,64,1110
192,11750,40,130062,69,1900,5,5,185,1140
193,13250,41,123425,69,1900,5,5,185,1140
194,11950,37,118217,110,1600,5,5,85,1075
195,11900,44,110000,69,1900,5,5,185,1095
196,14750,39,108847,90,2000,5,5,210,1205
197,9950,42,105699,97,1400,3,5,69,1025
198,11950,39,98823,110,1600,5,5,197,1119
199,11495,44,96829,110,1600,5,5,85,1075
200,11250,40,96518,97,1400,3,5,69,1025
201,10500,42,92204,110,1600,5,5,85,1075
202,10450,35,91456,69,1900,3,5,185,1110
203,12950,43,89968,69,1900,5,5,185,1140
204,11500,44,89757,110,1600,3,5,69,1045
205,12500,40,85389,110,1600,5,5,85,1075
206,10950,43,85017,97,1400,5,5,85,1060
207,11450,41,84312,110,1600,5,5,85,1080
208,11950,37,82743,110,1600,5,5,197,1121
209,13250,41,81106,69,1900,5,5,185,1140
210,14750,40,80425,90,2000,5,5,210,1205
211,11790,34,78677,110,1600,5,5,85,1105
212,11450,40,78425,110,1600,5,5,85,1075
213,13500,33,78108,90,2000,3,5,210,1170
214,10950,33,77321,110,1600,5,5,85,1075
215,13500,33,75699,69,1900,3,5,185,1105
216,10950,41,75697,97,1400,3,5,69,1025
217,10950,44,74846,97,1400,3,5,69,1025
218,12950,38,74319,110,1600,5,5,85,1075
219,11950,43,74285,110,1600,5,5,85,1075
220,11950,40,73042,110,1598,5,5,85,1075
221,14950,44,71793,110,1600,4,5,197,1067
222,12450,35,71200,110,1600,5,5,85,1075
223,12950,38,67805,110,1600,5,5,85,1075
224,11950,35,65988,110,1600,3,5,69,1040
225,11690,34,65345,97,1400,5,5,85,1060
226,12450,42,64564,110,1600,5,5,85,1080
227,12750,36,63459,97,1400,5,5,85,1060
228,11925,44,63451,97,1400,3,5,69,1025
229,12950,33,62000,110,1600,5,5,19,1075
230,11950,42,61300,97,1400,3,5,69,1030
231,12900,41,61200,110,1600,3,5,69,1045
232,11900,41,61000,110,1600,5,5,85,1075
233,11650,38,60829,110,1600,5,5,85,1075
234,10950,44,60500,110,1600,5,5,85,1075
235,13950,35,59500,69,1900,3,5,64,1110
236,13950,44,59000,110,1600,5,5,85,1110
237,11950,40,58954,110,1600,5,5,85,1080
238,10950,38,58798,110,1600,5,5,85,1075
239,12450,38,58363,110,1600,3,5,85,1055
240,11950,43,58277,110,1600,3,5,69,1045
241,13500,33,57711,90,2000,3,5,210,1165
242,11690,33,57269,110,1600,5,5,85,1075
243,13500,39,56001,110,1600,5,5,85,1075
244,11950,42,55968,110,1600,3,5,69,1050
245,12900,39,55678,110,1600,4,5,69,1030
246,13500,43,55539,110,1600,5,5,85,1085
247,11750,42,55400,110,1600,5,5,85,1075
248,11750,33,55350,110,1600,5,5,85,1075
249,10850,43,54600,110,1600,4,5,69,1030
250,11750,43,53773,110,1600,5,5,85,1075
251,14950,42,53719,110,1600,5,5,85,1105
252,9940,39,53644,110,1600,5,5,19,1075
253,12900,42,53350,110,1600,5,5,85,1075
254,13500,38,53000,110,1600,5,5,85,1075
255,11750,44,52084,97,1400,3,5,69,1025
256,11950,44,52000,97,1400,3,5,69,1025
257,13450,33,51945,110,1600,5,5,85,1075
258,11950,41,51732,97,1400,3,5,69,1025
259,12495,39,50873,110,1600,5,5,85,1075
260,13500,41,50856,110,1600,4,5,69,1030
261,12750,40,50640,110,1600,5,5,85,1075
262,12000,39,50000,97,1400,5,5,85,1060
263,11950,38,49500,110,1600,5,5,85,1075
264,12495,44,49332,110,1600,5,5,85,1080
265,12450,34,49291,110,1600,3,5,69,1040
266,14750,40,48952,90,2000,5,5,210,1205
267,10950,39,48945,110,1600,3,5,69,1040
268,13500,33,48928,69,1900,3,5,185,1105
269,12950,38,48197,110,1600,5,5,85,1075
270,13500,35,48052,69,1900,3,5,185,1105
271,13450,34,48011,110,1600,4,5,69,1030
272,13500,43,48000,110,1600,5,5,85,1075
273,11480,41,47350,110,1600,5,5,85,1075
274,13450,39,46821,97,1400,5,5,85,1060
275,11495,39,46694,110,1600,3,5,69,1040
276,12750,43,46515,97,1400,5,5,69,1025
277,14990,38,46327,110,1600,3,5,85,1055
278,12950,35,46304,97,1400,5,5,85,1060
279,12950,40,45886,110,1600,5,5,85,1080
280,12850,39,45713,97,1400,5,5,19,1085
281,13950,40,45600,110,1600,5,5,85,1105
282,11950,41,45287,110,1600,5,5,85,1075
283,12950,39,45081,110,1600,5,5,85,1075
284,11700,40,44830,110,1600,5,5,85,1075
285,9950,37,44757,97,1400,3,5,69,1025
286,11895,44,44218,97,1400,5,5,85,1060
287,12950,43,43632,110,1600,5,5,85,1075
288,12500,36,43427,110,1600,3,5,69,1040
289,13875,39,43254,110,1600,5,5,85,1075
290,10500,35,43000,110,1600,3,5,69,1050
291,12295,33,42823,110,1600,5,5,85,1075
292,13950,42,42560,110,1600,5,5,85,1080
293,10950,38,41754,110,1600,3,5,69,1040
294,12950,44,41499,110,1600,5,5,197,1103
295,12850,40,41339,110,1600,5,5,85,1080
296,13995,35,41000,110,1600,5,5,85,1075
297,13750,39,40000,110,1600,3,5,85,1055
298,12750,37,39757,110,1600,5,5,85,1075
299,12500,41,39659,110,1600,3,5,69,1045
300,13950,43,39650,110,1600,3,5,85,1055
301,11500,39,39524,97,1398,3,5,69,1025
302,13950,44,39516,97,1400,5,5,85,1060
303,11895,41,39439,97,1400,5,5,85,1060
304,9950,44,39000,97,1400,3,5,69,1025
305,13500,42,38932,110,1600,3,5,69,1040
306,11450,37,38812,97,1400,3,5,69,1025
307,12450,42,38665,110,1600,5,5,85,1075
308,12950,40,38653,110,1600,5,5,85,1080
309,13995,44,38461,110,1600,5,5,85,1080
310,11750,42,38078,97,1400,3,5,69,1025
311,11650,39,37782,97,1400,5,5,85,1060
312,9950,43,37576,97,1400,3,5,69,1030
313,13950,41,37533,110,1600,5,5,85,1075
314,12950,44,37389,110,1600,5,5,85,1080
315,10950,38,37320,97,1400,3,5,69,1025
316,9900,42,37000,97,1400,3,5,69,1025
317,11950,44,37000,110,1600,4,5,19,1075
318,11990,40,36566,110,1600,5,5,85,1090
319,10750,36,36269,110,1600,5,5,85,1075
320,13950,37,36074,110,1600,5,5,19,1075
321,11250,44,36066,110,1600,3,5,69,1040
322,12950,39,34599,110,1600,5,5,85,1075
323,11950,41,34000,110,1600,5,5,85,1075
324,10950,42,33623,97,1400,3,5,69,1025
325,12950,33,33591,110,1600,5,5,85,1075
326,12950,35,33258,110,1600,5,5,85,1075
327,11695,43,33113,110,1600,5,5,85,1075
328,11000,41,33000,110,1600,5,6,19,1075
329,13950,35,32941,110,1600,5,5,85,1080
330,11950,38,32781,110,1600,5,5,85,1075
331,11750,40,32532,110,1600,3,5,69,1040
332,12400,34,32431,97,1400,5,5,85,1060
333,12500,35,32000,110,1600,3,5,69,1040
334,12900,33,31000,110,1600,5,5,19,1075
335,12200,41,30989,110,1600,3,5,69,1045
336,12750,43,30742,110,1600,3,5,69,1040
337,11950,42,30190,110,1600,5,5,85,1075
338,11900,41,29716,116,1600,5,5,85,1075
339,11950,44,29716,110,1600,3,5,85,1070
340,14950,42,29640,110,1600,3,5,85,1055
341,11950,41,29056,97,1400,5,5,85,1060
342,12950,33,28715,110,1600,5,5,85,1075
343,14950,41,28571,110,1600,5,5,85,1090
344,13450,40,28362,110,1600,3,5,69,1040
345,13750,38,28150,110,1600,5,5,85,1075
346,12950,43,27301,110,1600,3,5,69,1040
347,12750,33,27240,110,1600,5,5,85,1075
348,11895,39,27170,97,1400,5,5,85,1060
349,9950,42,27141,97,1400,5,5,85,1060
350,12450,38,26262,110,1600,5,5,85,1075
351,12500,38,26000,97,1400,5,5,85,1060
352,14950,43,25228,110,1600,3,5,69,1045
353,13750,39,25062,110,1600,5,5,85,1080
354,12695,39,24723,110,1600,4,5,85,1060
355,14990,33,24650,110,1600,3,5,85,1055
356,12750,43,24553,110,1600,5,5,85,1080
357,14350,41,24475,110,1600,5,5,69,1030
358,12950,39,24444,110,1600,3,5,69,1040
359,11500,35,24011,97,1400,3,5,69,1025
360,11950,41,24000,97,1400,3,5,69,1025
361,13450,40,23616,110,1600,5,5,85,1075
362,12900,38,22865,110,1600,5,5,85,1075
363,10500,41,22780,86,1300,5,5,69,1035
364,10950,35,21904,97,1400,3,5,69,1025
365,11950,41,21651,97,1400,3,5,69,1025
366,11450,37,21500,110,1600,5,5,69,1030
367,13250,44,21027,110,1600,5,5,85,1080
368,10250,39,18500,110,1600,4,5,69,1030
369,13995,35,18000,110,1600,5,5,85,1075
370,11950,40,17051,97,1400,5,5,85,1060
371,13250,33,16512,97,1400,5,5,19,1085
372,12950,40,16325,110,1600,5,5,85,1080
373,11750,38,16000,97,1400,5,5,85,1060
374,11500,39,12000,110,1600,5,5,85,1075
375,13500,43,10000,97,1400,5,5,85,1060
376,6500,53,216000,69,1900,3,5,185,1110
377,6400,51,198167,69,1900,4,5,185,1095
378,7000,53,176000,69,1900,3,5,185,1105
379,7750,54,174139,72,2000,4,5,185,1100
380,8900,45,174000,69,1900,5,5,185,1095
381,8500,55,150000,110,1600,3,5,72,1075
382,8950,54,149329,72,2000,5,5,185,1135
383,9900,51,146736,110,1600,5,5,85,1080
384,10250,53,143513,69,1900,5,5,185,1140
385,9250,48,142130,110,1600,5,5,197,1119
386,7750,48,140700,69,1900,5,5,64,1110
387,9450,54,138394,69,1900,4,5,185,1095
388,7750,55,137000,72,2000,5,5,185,1135
389,8250,52,135258,69,1900,5,5,185,1140
390,9950,49,131364,110,1600,5,5,85,1075
391,4450,56,129155,69,1800,5,5,64,1110
392,9950,50,126110,110,1600,3,5,85,1055
393,9000,48,119742,110,1600,5,5,85,1080
394,9950,53,117913,69,1900,5,5,64,1110
395,12450,47,117430,90,2000,3,5,210,1165
396,10500,55,117175,110,1600,4,5,69,1035
397,10750,54,115558,110,1600,4,5,69,1035
398,8950,53,115113,97,1400,3,5,69,1025
399,10500,54,115046,69,1900,5,5,185,1140
400,5150,56,113997,72,2000,5,5,64,1135
401,10950,49,107859,97,1400,5,5,85,1060
402,9450,52,104805,97,1400,3,5,69,1025
403,9950,54,103454,110,1600,5,5,85,1075
404,10950,51,103018,69,1900,5,5,185,1140
405,11900,47,102352,110,1600,5,5,85,1080
406,9950,50,102030,97,1400,5,5,85,1060
407,11950,54,101352,110,1600,5,5,85,1080
408,7900,50,99865,110,1600,4,5,69,1035
409,10950,52,99323,110,1600,3,5,85,1055
410,8950,48,98100,69,1900,5,5,185,1140
411,11950,51,98040,110,1600,5,5,85,1080
412,10900,49,97600,110,1600,3,5,69,1045
413,9950,55,97234,110,1600,5,5,85,1080
414,9950,51,96135,72,2000,3,5,185,1115
415,10950,54,96100,110,1600,5,5,85,1080
416,8950,55,94401,72,2000,3,5,185,1115
417,8950,55,94122,86,1300,3,5,69,1015
418,10500,49,91340,110,1600,3,5,85,1055
419,8950,53,90200,97,1400,3,5,69,1025
420,9250,53,90097,69,1900,5,5,185,1140
421,11500,48,89049,97,1400,5,5,85,1060
422,9750,52,89000,110,1600,5,5,85,1075
423,9950,45,87274,110,1600,3,5,69,1040
424,11450,49,86221,110,1600,3,5,69,1045
425,12500,54,84598,110,1600,5,5,19,1075
426,10500,50,83567,110,1600,5,5,85,1075
427,12950,50,83106,110,1600,5,5,85,1075
428,12200,50,82805,110,1600,3,5,69,1040
429,10950,50,82735,97,1400,3,5,69,1030
430,10950,54,81905,110,1600,5,5,19,1105
431,11290,49,80320,110,1600,3,5,85,1070
432,10750,49,80090,97,1400,3,5,69,1030
433,10895,53,79800,110,1600,5,5,85,1075
434,11500,47,78785,110,1600,5,5,197,1119
435,9750,48,78600,110,1600,5,5,85,1075
436,10250,55,77780,110,1600,3,5,69,1040
437,12500,49,77648,110,1600,4,5,69,1030
438,11950,54,77270,110,1600,4,5,69,1035
439,10750,50,76167,97,1400,5,5,85,1060
440,11450,46,75249,110,1600,4,5,69,1035
441,11950,54,75231,110,1600,5,5,85,1080
442,11750,48,75045,110,1600,3,6,85,1055
443,10950,50,74849,110,1600,4,5,85,1060
444,11950,55,74715,110,1600,5,5,85,1080
445,10995,49,74656,69,1900,3,5,185,1105
446,11450,56,74500,97,1400,3,5,69,1025
447,8900,49,74494,110,1600,5,5,85,1075
448,10500,50,73634,110,1587,5,5,85,1075
449,11750,47,73403,110,1600,5,5,85,1075
450,11450,49,73175,97,1400,3,5,69,1030
451,12000,52,73000,110,1600,3,5,85,1055
452,11950,50,72242,110,1600,3,5,85,1070
453,9850,53,72000,97,1400,3,5,69,1025
454,10950,54,71725,110,1600,4,5,69,1035
455,10950,54,71276,110,1600,5,5,85,1080
456,8695,50,70440,69,1900,3,5,185,1105
457,10990,53,70239,110,1600,3,5,69,1040
458,9500,55,69813,97,1400,3,5,69,1025
459,11950,49,69659,86,1300,3,6,69,1025
460,10750,46,69574,97,1400,5,5,85,1065
461,8750,47,69000,69,1900,5,5,185,1140
462,8750,49,68565,110,1600,4,5,69,1030
463,11450,55,68520,72,2000,3,5,185,1115
464,9950,46,68414,97,1400,3,5,69,1025
465,11950,56,66777,110,1600,5,5,85,1090
466,13950,52,66527,110,1600,5,5,85,1080
467,11250,54,66063,110,1600,5,5,85,1090
468,10900,50,65471,97,1400,5,5,85,1060
469,9750,56,65400,97,1400,3,5,69,1025
470,9950,52,65170,97,1400,3,5,69,1025
471,11950,56,65000,110,1600,5,5,19,1075
472,10450,48,64193,110,1600,3,5,69,1040
473,8950,54,64000,97,1400,3,5,69,1025
474,10250,54,63792,110,1600,5,5,85,1075
475,9930,53,63635,110,1600,4,5,69,1035
